Product_ID,Product_Name,Size,Packaging_Quantity,Purchase_Price,GST_Percentage,Landed_Cost,Selling_Price,Customer_ID,Customer_Type,City,State,Order_ID,Order_Date,Sales_Channel,Quantity_Sold,Current_Stock,Restock_Priority,Delivery_Status
P006,Meal Box,500ML,2000,2.62,18,3.09,4.48,C200,Returning,Nagpur,Maharashtra,O00041,2025-02-22,Direct,1060,4809,4,In Transit
P002,Hinged Box,375ML,500,1.99,18,2.35,2.86,C169,Returning,Aurangabad,Maharashtra,O00042,2025-09-23,Direct,1475,1708,4,In Transit
P006,Meal Box,500ML,1000,2.35,18,2.77,3.84,C159,New,Nashik,Maharashtra,O00043,2025-08-31,Distributor,304,2316,3,Delayed
P016,Square Box,750ML,1000,3.27,18,3.86,4.68,C169,Returning,Ahmedabad,Gujarat,O00044,2025-09-23,Distributor,1178,2050,2,Delayed
P010,Food Container,1000ML,1000,3.37,18,3.98,5.28,C050,Returning,Hyderabad,Telangana,O00045,2025-01-29,Distributor,77,1494,6,On Time
P017,Round Container,500ML,2000,2.86,18,3.37,4.62,C027,Returning,Mumbai,Maharashtra,O00046,2025-10-15,Direct,86,1519,1,In Transit
P004,Hinged Box,750ML,500,2.41,18,2.84,3.96,C027,Returning,Hyderabad,Telangana,O00047,2025-09-21,Direct,1895,817,4,On Time
P007,Meal Box,750ML,1500,2.73,18,3.22,4.94,C149,New,Aurangabad,Maharashtra,O00048,2025-03-18,Distributor,263,3284,3,In Transit
P009,Food Container,750ML,1500,3.14,18,3.71,4.81,C092,New,Delhi,Delhi,O00049,2025-12-17,Direct,609,3503,4,In Transit
P008,Food Container,500ML,500,2.2,18,2.6,3.41,C040,Returning,Pune,Maharashtra,O00050,2025-11-28,Distributor,1879,1072,3,Delayed
P006,Meal Box,500ML,2000,2.92,18,3.45,4.48,C170,New,Mumbai,Maharashtra,O00051,2025-05-30,Direct,60,357,3,In Transit
P007,Meal Box,750ML,2000,3.27,18,3.86,5.32,C122,Returning,Hyderabad,Telangana,O00052,2025-08-12,Direct,1952,726,3,In Transit
P010,Food Container,1000ML,2000,3.76,18,4.44,6.16,C108,New,Delhi,Delhi,O00053,2025-04-18,Distributor,737,4519,4,In Transit
P010,Food Container,1000ML,1500,3.69,18,4.35,5.72,C024,Returning,Ahmedabad,Gujarat,O00054,2025-10-22,Distributor,1464,4472,3,Delayed
P020,Takeaway Box,1000ML,1000,3.9,18,4.6,5.76,C118,Returning,Nashik,Maharashtra,O00055,2025-04-26,Direct,728,3890,6,On Time
P016,Square Box,750ML,1000,2.87,18,3.39,4.68,C124,New,Ahmedabad,Gujarat,O00056,2025-08-19,Direct,1151,3998,3,On Time
P009,Food Container,750ML,2000,2.92,18,3.45,5.18,C026,Returning,Nashik,Maharashtra,O00057,2025-05-25,Distributor,396,83,4,On Time
P020,Takeaway Box,1000ML,2000,4.48,18,5.29,6.72,C169,New,Nashik,Maharashtra,O00058,2025-05-21,Distributor,92,4885,2,Delayed
P012,Storage Box,1000ML,2000,3.77,18,4.45,6.44,C149,Returning,Ahmedabad,Gujarat,O00059,2025-06-05,Distributor,724,4893,3,On Time
P001,Hinged Box,250ML,1500,1.86,18,2.19,2.86,C093,New,Pune,Maharashtra,O00060,2025-08-02,Distributor,790,399,4,On Time
P020,Takeaway Box,1000ML,2000,4.7,18,5.55,6.72,C065,Returning,Nashik,Maharashtra,O00061,2025-07-03,Direct,1210,1966,3,On Time
P001,Hinged Box,250ML,500,1.54,18,1.82,2.42,C039,Returning,Hyderabad,Telangana,O00062,2025-10-10,Distributor,1092,1639,6,On Time
P020,Takeaway Box,1000ML,1000,3.83,18,4.52,5.76,C080,New,Delhi,Delhi,O00063,2025-04-05,Direct,974,3924,1,Delayed
P004,Hinged Box,750ML,1000,2.73,18,3.22,4.32,C024,New,Bangalore,Karnataka,O00064,2025-07-04,Direct,165,1531,4,Delayed
P019,Takeaway Box,750ML,2000,3.9,18,4.6,5.74,C176,New,Hyderabad,Telangana,O00065,2025-01-29,Distributor,446,472,2,On Time
P001,Hinged Box,250ML,1000,1.46,18,1.72,2.64,C154,New,Bangalore,Karnataka,O00066,2025-01-13,Direct,1130,4718,3,Delayed
P005,Hinged Box,1000ML,500,2.91,18,3.43,4.62,C146,New,Nagpur,Maharashtra,O00067,2025-04-23,Distributor,1721,1358,1,In Transit
P013,Sauce Box,250ML,500,1.63,18,1.92,2.53,C113,Returning,Mumbai,Maharashtra,O00068,2025-04-08,Direct,552,1710,2,Delayed
P004,Hinged Box,750ML,1000,2.97,18,3.5,4.32,C092,New,Nagpur,Maharashtra,O00069,2025-05-30,Direct,353,2600,3,On Time
P009,Food Container,750ML,1000,2.72,18,3.21,4.44,C138,Returning,Nashik,Maharashtra,O00070,2025-05-13,Distributor,938,1573,6,In Transit
P003,Hinged Box,500ML,500,2.16,18,2.55,3.3,C181,Returning,Nashik,Maharashtra,O00071,2025-12-15,Direct,229,483,6,In Transit
P019,Takeaway Box,750ML,2000,3.21,18,3.79,5.74,C061,Returning,Ahmedabad,Gujarat,O00072,2025-06-09,Distributor,1178,4569,6,On Time
P015,Square Box,500ML,1000,2.39,18,2.82,3.84,C070,Returning,Nashik,Maharashtra,O00073,2025-04-08,Distributor,62,3526,5,On Time
P017,Round Container,500ML,500,2.15,18,2.54,3.63,C093,Returning,Pune,Maharashtra,O00074,2025-04-14,Distributor,1752,1741,4,In Transit
P018,Round Container,750ML,1000,3.05,18,3.6,4.8,C022,Returning,Hyderabad,Telangana,O00075,2025-04-27,Distributor,1585,3650,6,Delayed
P007,Meal Box,750ML,1500,2.8,18,3.3,4.94,C047,New,Delhi,Delhi,O00076,2025-07-21,Direct,1068,2891,2,Delayed
P018,Round Container,750ML,500,2.43,18,2.87,4.4,C034,Returning,Delhi,Delhi,O00077,2025-10-09,Direct,795,2520,4,Delayed
P014,Sauce Box,375ML,500,2.02,18,2.38,2.97,C052,New,Bangalore,Karnataka,O00078,2025-12-04,Direct,1833,232,4,In Transit
P018,Round Container,750ML,1000,3.16,18,3.73,4.8,C034,New,Delhi,Delhi,O00079,2025-01-13,Direct,748,1265,4,On Time
P013,Sauce Box,250ML,1500,2.0,18,2.36,2.99,C083,Returning,Hyderabad,Telangana,O00080,2025-04-04,Distributor,1581,1075,4,On Time
P004,Hinged Box,750ML,2000,2.99,18,3.53,5.04,C027,New,Aurangabad,Maharashtra,O00081,2025-03-27,Distributor,1919,966,2,On Time
P002,Hinged Box,375ML,1000,1.92,18,2.27,3.12,C196,Returning,Hyderabad,Telangana,O00082,2025-08-16,Distributor,900,198,4,On Time
P012,Storage Box,1000ML,1500,3.36,18,3.96,5.98,C184,New,Mumbai,Maharashtra,O00083,2025-11-23,Distributor,1094,4903,1,On Time
P001,Hinged Box,250ML,1500,1.78,18,2.1,2.86,C064,Returning,Aurangabad,Maharashtra,O00084,2025-01-12,Distributor,127,3918,4,On Time
P012,Storage Box,1000ML,2000,3.99,18,4.71,6.44,C199,Returning,Bangalore,Karnataka,O00085,2025-11-02,Distributor,501,4923,4,Delayed
P002,Hinged Box,375ML,500,1.9,18,2.24,2.86,C164,Returning,Pune,Maharashtra,O00086,2025-03-06,Distributor,1707,2237,4,Delayed
P003,Hinged Box,500ML,1000,2.28,18,2.69,3.6,C138,Returning,Indore,Madhya Pradesh,O00087,2025-07-08,Direct,1891,946,2,On Time
P016,Square Box,750ML,500,2.57,18,3.03,4.29,C056,Returning,Nashik,Maharashtra,O00088,2025-06-23,Distributor,1027,1460,6,In Transit
P004,Hinged Box,750ML,500,2.59,18,3.06,3.96,C189,New,Delhi,Delhi,O00089,2025-05-23,Distributor,1390,938,1,Delayed
P013,Sauce Box,250ML,2000,2.11,18,2.49,3.22,C186,New,Hyderabad,Telangana,O00090,2025-08-17,Distributor,1761,951,3,On Time
P014,Sauce Box,375ML,1500,2.01,18,2.37,3.51,C154,Returning,Nagpur,Maharashtra,O00091,2025-08-15,Direct,1712,3785,3,In Transit
P019,Takeaway Box,750ML,2000,3.34,18,3.94,5.74,C176,Returning,Bangalore,Karnataka,O00092,2025-04-25,Direct,1934,1707,5,Delayed
P016,Square Box,750ML,2000,3.45,18,4.07,5.46,C103,Returning,Mumbai,Maharashtra,O00093,2025-09-04,Direct,633,1790,3,In Transit
P012,Storage Box,1000ML,1500,3.87,18,4.57,5.98,C146,Returning,Indore,Madhya Pradesh,O00094,2025-07-28,Direct,423,2180,1,On Time
P020,Takeaway Box,1000ML,500,2.92,18,3.45,5.28,C135,Returning,Hyderabad,Telangana,O00095,2025-06-17,Direct,1918,3655,6,Delayed
P008,Food Container,500ML,1500,2.82,18,3.33,4.03,C010,New,Ahmedabad,Gujarat,O00096,2025-08-01,Direct,167,1540,2,In Transit
P013,Sauce Box,250ML,1500,1.86,18,2.19,2.99,C068,New,Aurangabad,Maharashtra,O00097,2025-12-25,Distributor,184,1957,2,In Transit
P005,Hinged Box,1000ML,500,2.96,18,3.49,4.62,C188,New,Delhi,Delhi,O00098,2025-09-30,Distributor,302,3586,6,In Transit
P018,Round Container,750ML,1000,3.26,18,3.85,4.8,C029,New,Mumbai,Maharashtra,O00099,2025-07-31,Distributor,1483,1123,4,Delayed
P003,Hinged Box,500ML,2000,2.45,18,2.89,4.2,C038,Returning,Indore,Madhya Pradesh,O00100,2025-12-21,Distributor,616,617,3,In Transit
P002,Hinged Box,375ML,500,1.78,18,2.1,2.86,C065,New,Nagpur,Maharashtra,O00101,2025-01-01,Direct,1491,1301,5,In Transit
P007,Meal Box,750ML,500,2.72,18,3.21,4.18,C058,Returning,Nagpur,Maharashtra,O00102,2025-07-15,Distributor,1719,43,5,In Transit
P005,Hinged Box,1000ML,1500,3.82,18,4.51,5.46,C089,Returning,Nagpur,Maharashtra,O00103,2025-10-27,Distributor,1770,469,4,In Transit
P004,Hinged Box,750ML,1000,2.93,18,3.46,4.32,C142,Returning,Hyderabad,Telangana,O00104,2025-01-06,Distributor,1204,3778,4,In Transit
P011,Storage Box,750ML,2000,3.61,18,4.26,5.46,C095,Returning,Nashik,Maharashtra,O00105,2025-04-17,Direct,389,450,1,Delayed
P016,Square Box,750ML,1000,2.78,18,3.28,4.68,C057,Returning,Pune,Maharashtra,O00106,2025-12-05,Distributor,150,1271,1,Delayed
P006,Meal Box,500ML,500,2.12,18,2.5,3.52,C189,New,Bangalore,Karnataka,O00107,2025-07-18,Direct,792,4765,4,In Transit
P011,Storage Box,750ML,500,2.9,18,3.42,4.29,C060,Returning,Hyderabad,Telangana,O00108,2025-08-30,Direct,168,2307,2,In Transit
P012,Storage Box,1000ML,500,2.9,18,3.42,5.06,C084,New,Nashik,Maharashtra,O00109,2025-10-22,Distributor,753,4851,6,In Transit
P009,Food Container,750ML,2000,3.38,18,3.99,5.18,C068,New,Pune,Maharashtra,O00110,2025-01-31,Distributor,1386,4660,3,On Time
P011,Storage Box,750ML,1500,3.13,18,3.69,5.07,C034,Returning,Ahmedabad,Gujarat,O00111,2025-12-19,Direct,766,971,5,On Time
P001,Hinged Box,250ML,500,1.45,18,1.71,2.42,C192,Returning,Ahmedabad,Gujarat,O00112,2025-12-19,Direct,634,2351,5,On Time
P013,Sauce Box,250ML,1000,1.86,18,2.19,2.76,C169,Returning,Indore,Madhya Pradesh,O00113,2025-12-20,Direct,1494,919,5,In Transit
P016,Square Box,750ML,500,2.74,18,3.23,4.29,C104,Returning,Nashik,Maharashtra,O00114,2025-01-20,Distributor,376,1350,2,In Transit
P004,Hinged Box,750ML,1000,2.73,18,3.22,4.32,C169,New,Nashik,Maharashtra,O00115,2025-11-16,Direct,1394,3786,2,In Transit
P013,Sauce Box,250ML,1000,1.55,18,1.83,2.76,C162,New,Indore,Madhya Pradesh,O00116,2025-08-03,Direct,693,421,6,Delayed
P018,Round Container,750ML,1500,3.49,18,4.12,5.2,C010,New,Ahmedabad,Gujarat,O00117,2025-05-30,Direct,1326,716,6,On Time
P010,Food Container,1000ML,2000,3.5,18,4.13,6.16,C115,New,Hyderabad,Telangana,O00118,2025-01-06,Direct,1325,4582,1,In Transit
P003,Hinged Box,500ML,1000,2.03,18,2.4,3.6,C107,Returning,Mumbai,Maharashtra,O00119,2025-11-11,Direct,316,4476,2,In Transit
P019,Takeaway Box,750ML,1000,3.32,18,3.92,4.92,C142,New,Ahmedabad,Gujarat,O00120,2025-07-18,Distributor,625,3127,5,Delayed
P007,Meal Box,750ML,2000,3.31,18,3.91,5.32,C042,New,Delhi,Delhi,O00121,2025-02-27,Direct,585,559,1,Delayed
P018,Round Container,750ML,1000,3.21,18,3.79,4.8,C111,Returning,Nashik,Maharashtra,O00122,2025-09-10,Direct,718,3930,2,Delayed
P002,Hinged Box,375ML,2000,2.01,18,2.37,3.64,C123,Returning,Mumbai,Maharashtra,O00123,2025-04-26,Direct,1873,1351,3,On Time
P018,Round Container,750ML,1500,3.44,18,4.06,5.2,C093,Returning,Ahmedabad,Gujarat,O00124,2025-04-01,Distributor,234,2857,6,In Transit
P013,Sauce Box,250ML,1000,1.74,18,2.05,2.76,C067,New,Nagpur,Maharashtra,O00125,2025-10-14,Direct,1808,2419,4,Delayed
P012,Storage Box,1000ML,1500,3.68,18,4.34,5.98,C070,Returning,Mumbai,Maharashtra,O00126,2025-07-09,Distributor,392,2627,6,In Transit
P009,Food Container,750ML,1500,2.85,18,3.36,4.81,C182,New,Delhi,Delhi,O00127,2025-06-22,Direct,248,2866,3,Delayed
P013,Sauce Box,250ML,1000,1.88,18,2.22,2.76,C021,New,Ahmedabad,Gujarat,O00128,2025-07-30,Direct,1854,3832,3,In Transit
P016,Square Box,750ML,1000,2.79,18,3.29,4.68,C111,Returning,Aurangabad,Maharashtra,O00129,2025-04-01,Direct,1015,2522,5,On Time
P017,Round Container,500ML,2000,2.81,18,3.32,4.62,C060,Returning,Indore,Madhya Pradesh,O00130,2025-08-17,Distributor,801,4789,2,In Transit
P018,Round Container,750ML,2000,3.22,18,3.8,5.6,C078,Returning,Ahmedabad,Gujarat,O00131,2025-09-19,Distributor,1125,4460,1,In Transit
P019,Takeaway Box,750ML,1000,3.24,18,3.82,4.92,C200,New,Indore,Madhya Pradesh,O00132,2025-11-26,Direct,1397,3143,1,On Time
P007,Meal Box,750ML,1500,3.39,18,4.0,4.94,C178,New,Bangalore,Karnataka,O00133,2025-04-18,Direct,1569,4672,6,On Time
P007,Meal Box,750ML,2000,3.63,18,4.28,5.32,C025,Returning,Ahmedabad,Gujarat,O00134,2025-09-26,Distributor,786,4236,2,Delayed
P009,Food Container,750ML,1000,2.49,18,2.94,4.44,C133,Returning,Hyderabad,Telangana,O00135,2025-02-18,Direct,1908,1025,3,On Time
P019,Takeaway Box,750ML,2000,3.99,18,4.71,5.74,C190,Returning,Ahmedabad,Gujarat,O00136,2025-09-13,Distributor,451,4524,5,In Transit
P001,Hinged Box,250ML,2000,1.71,18,2.02,3.08,C133,Returning,Nagpur,Maharashtra,O00137,2025-10-24,Direct,1507,1573,5,In Transit
P013,Sauce Box,250ML,500,1.74,18,2.05,2.53,C156,Returning,Nashik,Maharashtra,O00138,2025-06-19,Distributor,1946,2195,4,On Time
P015,Square Box,500ML,1000,2.41,18,2.84,3.84,C006,New,Mumbai,Maharashtra,O00139,2025-07-31,Distributor,1280,3881,2,On Time
P015,Square Box,500ML,1000,2.33,18,2.75,3.84,C195,Returning,Nagpur,Maharashtra,O00140,2025-08-27,Direct,176,4269,6,In Transit
P015,Square Box,500ML,2000,2.56,18,3.02,4.48,C113,New,Nashik,Maharashtra,O00141,2025-07-28,Direct,1458,2275,6,In Transit
P019,Takeaway Box,750ML,1000,3.23,18,3.81,4.92,C031,Returning,Nashik,Maharashtra,O00142,2025-01-27,Direct,1536,135,2,In Transit
P011,Storage Box,750ML,2000,3.52,18,4.15,5.46,C080,New,Mumbai,Maharashtra,O00143,2025-05-07,Direct,353,4726,3,Delayed
P009,Food Container,750ML,2000,3.09,18,3.65,5.18,C165,New,Hyderabad,Telangana,O00144,2025-09-29,Direct,1404,4950,2,Delayed
P016,Square Box,750ML,1500,2.89,18,3.41,5.07,C164,Returning,Pune,Maharashtra,O00145,2025-07-24,Direct,157,2500,5,Delayed
P008,Food Container,500ML,1500,2.61,18,3.08,4.03,C060,New,Ahmedabad,Gujarat,O00146,2025-01-18,Distributor,464,1302,2,Delayed
P004,Hinged Box,750ML,1500,2.92,18,3.45,4.68,C097,Returning,Nashik,Maharashtra,O00147,2025-09-18,Distributor,1803,253,3,Delayed
P009,Food Container,750ML,1500,2.82,18,3.33,4.81,C093,Returning,Nagpur,Maharashtra,O00148,2025-12-17,Distributor,349,965,6,On Time
P013,Sauce Box,250ML,500,1.72,18,2.03,2.53,C113,Returning,Mumbai,Maharashtra,O00149,2025-07-16,Direct,547,80,5,In Transit
P014,Sauce Box,375ML,500,1.74,18,2.05,2.97,C182,New,Nashik,Maharashtra,O00150,2025-10-06,Distributor,1620,914,6,Delayed
P017,Round Container,500ML,1000,2.19,18,2.58,3.96,C064,Returning,Mumbai,Maharashtra,O00151,2025-11-17,Distributor,925,2426,3,In Transit
P004,Hinged Box,750ML,1000,2.62,18,3.09,4.32,C111,New,Nashik,Maharashtra,O00152,2025-02-21,Direct,1890,3199,4,In Transit
P001,Hinged Box,250ML,1500,1.68,18,1.98,2.86,C099,Returning,Hyderabad,Telangana,O00153,2025-06-25,Direct,108,1604,5,Delayed
P018,Round Container,750ML,1500,3.05,18,3.6,5.2,C080,New,Nagpur,Maharashtra,O00154,2025-12-19,Distributor,462,3279,3,On Time
P019,Takeaway Box,750ML,500,3.13,18,3.69,4.51,C069,Returning,Mumbai,Maharashtra,O00155,2025-07-16,Direct,59,2004,2,In Transit
P008,Food Container,500ML,500,2.04,18,2.41,3.41,C058,Returning,Ahmedabad,Gujarat,O00156,2025-09-10,Distributor,1673,4179,6,Delayed
P018,Round Container,750ML,1000,2.88,18,3.4,4.8,C033,Returning,Delhi,Delhi,O00157,2025-02-12,Distributor,1951,2354,2,In Transit
P020,Takeaway Box,1000ML,500,3.1,18,3.66,5.28,C174,Returning,Indore,Madhya Pradesh,O00158,2025-01-20,Direct,1574,4546,2,Delayed
P014,Sauce Box,375ML,1500,2.09,18,2.47,3.51,C169,New,Ahmedabad,Gujarat,O00159,2025-03-13,Direct,1315,4794,3,Delayed
P008,Food Container,500ML,500,2.16,18,2.55,3.41,C018,Returning,Nagpur,Maharashtra,O00160,2025-03-25,Direct,190,765,6,Delayed
P014,Sauce Box,375ML,2000,2.61,18,3.08,3.78,C013,Returning,Aurangabad,Maharashtra,O00161,2025-06-29,Distributor,872,2244,6,On Time
P017,Round Container,500ML,2000,2.97,18,3.5,4.62,C147,New,Delhi,Delhi,O00162,2025-03-18,Distributor,703,2578,3,In Transit
P011,Storage Box,750ML,500,2.71,18,3.2,4.29,C186,New,Aurangabad,Maharashtra,O00163,2025-01-22,Direct,1865,3685,1,Delayed
P001,Hinged Box,250ML,1500,1.85,18,2.18,2.86,C008,New,Ahmedabad,Gujarat,O00164,2025-01-28,Distributor,520,1308,1,Delayed
P012,Storage Box,1000ML,2000,4.03,18,4.76,6.44,C055,Returning,Nashik,Maharashtra,O00165,2025-04-09,Distributor,627,1223,5,On Time
P009,Food Container,750ML,1000,2.5,18,2.95,4.44,C120,New,Nashik,Maharashtra,O00166,2025-06-19,Direct,1841,197,6,On Time
P017,Round Container,500ML,500,2.49,18,2.94,3.63,C009,New,Nashik,Maharashtra,O00167,2025-03-26,Direct,236,362,1,In Transit
P013,Sauce Box,250ML,2000,1.94,18,2.29,3.22,C044,New,Indore,Madhya Pradesh,O00168,2025-07-03,Distributor,1342,1711,1,Delayed
P003,Hinged Box,500ML,2000,2.36,18,2.78,4.2,C137,Returning,Mumbai,Maharashtra,O00169,2025-04-02,Distributor,1751,3629,6,In Transit
P020,Takeaway Box,1000ML,1000,3.93,18,4.64,5.76,C139,New,Nashik,Maharashtra,O00170,2025-07-14,Direct,1038,3901,3,Delayed
P020,Takeaway Box,1000ML,2000,4.5,18,5.31,6.72,C084,Returning,Nagpur,Maharashtra,O00171,2025-06-20,Direct,807,4404,6,In Transit
P011,Storage Box,750ML,1000,3.07,18,3.62,4.68,C016,New,Nagpur,Maharashtra,O00172,2025-08-25,Distributor,478,2695,5,Delayed
P013,Sauce Box,250ML,2000,2.14,18,2.53,3.22,C074,Returning,Mumbai,Maharashtra,O00173,2025-10-24,Distributor,743,3941,1,In Transit
P012,Storage Box,1000ML,2000,3.77,18,4.45,6.44,C180,Returning,Indore,Madhya Pradesh,O00174,2025-06-25,Distributor,1321,1546,2,On Time
P018,Round Container,750ML,2000,3.11,18,3.67,5.6,C039,Returning,Bangalore,Karnataka,O00175,2025-04-15,Distributor,1359,124,2,On Time
P016,Square Box,750ML,1500,3.29,18,3.88,5.07,C083,New,Bangalore,Karnataka,O00176,2025-02-05,Distributor,1152,702,2,Delayed
P014,Sauce Box,375ML,1000,1.97,18,2.32,3.24,C028,New,Mumbai,Maharashtra,O00177,2025-04-17,Direct,1568,2368,2,In Transit
P007,Meal Box,750ML,2000,3.2,18,3.78,5.32,C112,Returning,Delhi,Delhi,O00178,2025-09-16,Direct,160,806,2,In Transit
P001,Hinged Box,250ML,2000,1.88,18,2.22,3.08,C001,Returning,Mumbai,Maharashtra,O00179,2025-02-26,Direct,1780,2294,3,Delayed
P007,Meal Box,750ML,1000,2.63,18,3.1,4.56,C135,Returning,Hyderabad,Telangana,O00180,2025-10-08,Direct,292,3750,1,In Transit
